Code,Name,Country,Exchange,Currency,Type,ISIN
CJ,Company Name TBD,Canada,TSX,CAD,Common Stock,
CJT,Cargojet Inc,Canada,TSX,CAD,Common Stock,
CM,Canadian Imperial Bank of Commerce,Canada,TSX,CAD,Common Stock,
CNR,Canadian National Railway Co,Canada,TSX,CAD,Common Stock,
CNQ,Canadian Natural Resources Ltd,Canada,TSX,CAD,Common Stock,
CP,Canadian Pacific Kansas City Ltd,Canada,TSX,CAD,Common Stock,
CPX,Capital Power Corp,Canada,TSX,CAD,Common Stock,
CRR.UN,Crombie REIT,Canada,TSX,CAD,Common Stock,
CS,Capstone Copper Corp,Canada,TSX,CAD,Common Stock,
CSH.UN,Chartwell Retirement Residences,Canada,TSX,CAD,Common Stock,
CSU,Constellation Software Inc,Canada,TSX,CAD,Common Stock,
CTC.A,Canadian Tire Corp Ltd,Canada,TSX,CAD,Common Stock,
CRT.UN,CT REIT,Canada,TSX,CAD,Common Stock,
CU,Canadian Utilities Ltd,Canada,TSX,CAD,Common Stock,
CVE,Cenovus Energy Inc,Canada,TSX,CAD,Common Stock,
DFY,Definity Financial Corp,Canada,TSX,CAD,Common Stock,
DIR.UN,Dream Industrial REIT,Canada,TSX,CAD,Common Stock,
DML,Denison Mines Corp,Canada,TSX,CAD,Common Stock,
DOO,BRP Inc,Canada,TSX,CAD,Common Stock,
DOL,Dollarama Inc,Canada,TSX,CAD,Common Stock,
DPM,Dundee Precious Metals Inc,Canada,TSX,CAD,Common Stock,
DSG,Descartes Systems Group Inc,Canada,TSX,CAD,Common Stock,
EDR,Endeavour Silver Corp.,Canada,TSX,CAD,Common Stock,
EFN,Element Fleet Management Corp,Canada,TSX,CAD,Common Stock,
EFR,Energy Fuels Inc,Canada,TSX,CAD,Common Stock,
EFX,Enerflex Ltd,Canada,TSX,CAD,Common Stock,
EMA,Emera Inc,Canada,TSX,CAD,Common Stock,
EMP.A,Empire Company Ltd,Canada,TSX,CAD,Common Stock,
ENB,Enbridge Inc,Canada,TSX,CAD,Common Stock,CA29250N1050
ENGH,Enghouse Systems Ltd,Canada,TSX,CAD,Common Stock,
EIF,Exchange Income Corp,Canada,TSX,CAD,Common Stock,
EQB,EQB Inc,Canada,TSX,CAD,Common Stock,
EQX,Equinox Gold Corp,Canada,TSX,CAD,Common Stock,
ERO,Ero Copper Corp,Canada,TSX,CAD,Common Stock,
FFH,Fairfax Financial Holdings Ltd,Canada,TSX,CAD,Common Stock,
FM,First Quantum Minerals Ltd,Canada,TSX,CAD,Common Stock,
FNV,Franco-Nevada Corp,Canada,TSX,CAD,Common Stock,
FR,First Majestic Silver Corp,Canada,TSX,CAD,Common Stock,
FRU,Freehold Royalties Ltd,Canada,TSX,CAD,Common Stock,
FSV,FirstService Corp,Canada,TSX,CAD,Common Stock,
FTT,Finning International Inc,Canada,TSX,CAD,Common Stock,
FTS,Fortis Inc,Canada,TSX,CAD,Common Stock,
FVI,Fortuna Silver Mines Inc,Canada,TSX,CAD,Common Stock,
GFL,GFL Environmental Inc,Canada,TSX,CAD,Common Stock,
GEI,Gibson Energy Inc,Canada,TSX,CAD,Common Stock,
GIB.A,CGI Inc,Canada,TSX,CAD,Common Stock,
GIL,Gildan Activewear Inc,Canada,TSX,CAD,Common Stock,
GMIN,G Mining Ventures Corp.,Canada,TSX,CAD,Common Stock,
GRT.UN,Granite REIT,Canada,TSX,CAD,Common Stock,
GSY,goeasy Ltd,Canada,TSX,CAD,Common Stock,
GWO,Great-West Lifeco Inc,Canada,TSX,CAD,Common Stock,
HBM,Hudbay Minerals Inc,Canada,TSX,CAD,Common Stock,
H,Hydro One Ltd,Canada,TSX,CAD,Common Stock,
HR.UN,H&R REIT,Canada,TSX,CAD,Common Stock,
HWX,Headwater Exploration Inc,Canada,TSX,CAD,Common Stock,
IAG,iA Financial Corp,Canada,TSX,CAD,Common Stock,
IBB,Company Name TBD,Canada,TSX,CAD,Common Stock,
IFC,Intact Financial Corp,Canada,TSX,CAD,Common Stock,
IGM,IGM Financial Inc,Canada,TSX,CAD,Common Stock,
IMG,IAMGOLD Corp,Canada,TSX,CAD,Common Stock,
IMO,Imperial Oil Ltd,Canada,TSX,CAD,Common Stock,
IPCO,International Petroleum Corp,Canada,TSX,CAD,Common Stock,
IIP.UN,InterRent REIT,Canada,TSX,CAD,Common Stock,
IVN,Ivanhoe Mines Ltd,Canada,TSX,CAD,Common Stock,
JWEL,Jamieson Wellness Inc,Canada,TSX,CAD,Common Stock,
KEY,Keyera Corp,Canada,TSX,CAD,Common Stock,
KEL,Kelt Exploration Ltd,Canada,TSX,CAD,Common Stock,
KIN,Company Name TBD,Canada,TSX,CAD,Common Stock,
KMP.UN,Killam Apartment REIT,Canada,TSX,CAD,Common Stock,
KNT,K92 Mining Inc,Canada,TSX,CAD,Common Stock,
KXS,Kinaxis Inc,Canada,TSX,CAD,Common Stock,
LB,Laurentian Bank of Canada,Canada,TSX,CAD,Common Stock,
L,Company Name TBD,Canada,TSX,CAD,Common Stock,
LIF,Labrador Iron Ore Royalty Corp,Canada,TSX,CAD,Common Stock,
LNR,Linamar Corp,Canada,TSX,CAD,Common Stock,
LSPD,Lightspeed Commerce Inc,Canada,TSX,CAD,Common Stock,
LUG,Lundin Gold Inc,Canada,TSX,CAD,Common Stock,
LUN,Lundin Mining Corp,Canada,TSX,CAD,Common Stock,
MDA,MDA Ltd,Canada,TSX,CAD,Common Stock,
MEG,MEG Energy Corp,Canada,TSX,CAD,Common Stock,
MFC,Manulife Financial Corp,Canada,TSX,CAD,Common Stock,
MFI,Maple Leaf Foods Inc,Canada,TSX,CAD,Common Stock,
MG,Magna International Inc,Canada,TSX,CAD,Common Stock,
MGR,Company Name TBD,Canada,TSX,CAD,Common Stock,
MND,Company Name TBD,Canada,TSX,CAD,Common Stock,
MRU,Metro Inc,Canada,TSX,CAD,Common Stock,
MTL,Mullen Group Ltd,Canada,TSX,CAD,Common Stock,
NA,National Bank of Canada,Canada,TSX,CAD,Common Stock,
NG,NovaGold Resources Inc,Canada,TSX,CAD,Common Stock,
NGD,New Gold Inc,Canada,TSX,CAD,Common Stock,
NGEX,NGEx Minerals Ltd,Canada,TSX,CAD,Common Stock,
NFI,NFI Group Inc,Canada,TSX,CAD,Common Stock,
NPI,Northland Power Inc,Canada,TSX,CAD,Common Stock,
NTR,Nutrien Ltd,Canada,TSX,CAD,Common Stock,
NVA,NuVista Energy Ltd,Canada,TSX,CAD,Common Stock,
NWC,The North West Company Inc.,Canada,TSX,CAD,Common Stock,
ONEX,Onex Corp,Canada,TSX,CAD,Common Stock,
OR,Osisko Gold Royalties Ltd,Canada,TSX,CAD,Common Stock,
OLA,Orla Mining Ltd,Canada,TSX,CAD,Common Stock,
OTEX,Open Text Corp,Canada,TSX,CAD,Common Stock,
PAAS,Pan American Silver Corp,Canada,TSX,CAD,Common Stock,
PET,Pet Valu Holdings Ltd,Canada,TSX,CAD,Common Stock,
PEY,Peyto Exploration & Development Corp,Canada,TSX,CAD,Common Stock,
PKI,Parkland Corp,Canada,TSX,CAD,Common Stock,
PLV,Company Name TBD,Canada,TSX,CAD,Common Stock,
POU,Paramount Resources Ltd,Canada,TSX,CAD,Common Stock,
PPL,Pembina Pipeline Corp,Canada,TSX,CAD,Common Stock,
PSI,Pason Systems Inc,Canada,TSX,CAD,Common Stock,
PSK,PrairieSky Royalty Ltd,Canada,TSX,CAD,Common Stock,
PXT,Parex Resources Inc,Canada,TSX,CAD,Common Stock,
PBH,Premium Brands Holdings Corp,Canada,TSX,CAD,Common Stock,
POW,Power Corporation of Canada,Canada,TSX,CAD,Common Stock,
QBR.B,Quebecor Inc,Canada,TSX,CAD,Common Stock,
QSR,Restaurant Brands International Inc,Canada,TSX,CAD,Common Stock,
RBA,RB Global Inc.,Canada,TSX,CAD,Common Stock,
RCH,Richelieu Hardware Ltd,Canada,TSX,CAD,Common Stock,
REI.UN,RioCan REIT,Canada,TSX,CAD,Common Stock,
RCI.B,Rogers Communications Inc (Class B),Canada,TSX,CAD,Common Stock,
RUS,Russel Metals Inc,Canada,TSX,CAD,Common Stock,
RY,Royal Bank of Canada,Canada,TSX,CAD,Common Stock,CA7800871021
SAP,Saputo Inc,Canada,TSX,CAD,Common Stock,
SEA,Seabridge Gold Inc,Canada,TSX,CAD,Common Stock,
SES,Secure Energy Services Inc,Canada,TSX,CAD,Common Stock,
SHOP,Shopify Inc,Canada,TSX,CAD,Common Stock,CA82509L1076
SIA,Sienna Senior Living Inc,Canada,TSX,CAD,Common Stock,
SII,Sprott Inc,Canada,TSX,CAD,Common Stock,
SJ,Stella-Jones Inc,Canada,TSX,CAD,Common Stock,
SLF,Sun Life Financial Inc,Canada,TSX,CAD,Common Stock,
SMU,Company Name TBD,Canada,TSX,CAD,Common Stock,
SPB,Superior Plus Corp,Canada,TSX,CAD,Common Stock,
SPRC,Company Name TBD,Canada,TSX,CAD,Common Stock,
SSL,Sandstorm Gold Ltd,Canada,TSX,CAD,Common Stock,
SRU.UN,SmartCentres REIT,Canada,TSX,CAD,Common Stock,
SSRM,SSR Mining Inc,Canada,TSX,CAD,Common Stock,
STN,Stantec Inc,Canada,TSX,CAD,Common Stock,
SU,Suncor Energy Inc,Canada,TSX,CAD,Common Stock,
TFII,TFI International Inc,Canada,TSX,CAD,Common Stock,
TFPM,Triple Flag Precious Metals Corp,Canada,TSX,CAD,Common Stock,
TCL.A,Transcontinental Inc,Canada,TSX,CAD,Common Stock,
TD,Toronto-Dominion Bank,Canada,TSX,CAD,Common Stock,CA8911605092
TECK.B,Teck Resources Ltd (Class B),Canada,TSX,CAD,Common Stock,
TFB,Company Name TBD,Canada,TSX,CAD,Common Stock,
TGZ,Company Name TBD,Canada,TSX,CAD,Common Stock,
TIH,Toromont Industries Ltd,Canada,TSX,CAD,Common Stock,
TMX,Company Name TBD,Canada,TSX,CAD,Common Stock,
TOU,Tourmaline Oil Corp,Canada,TSX,CAD,Common Stock,
TPZ,Topaz Energy Corp,Canada,TSX,CAD,Common Stock,
TA,TransAlta Corp,Canada,TSX,CAD,Common Stock,
TSU,Trisura Group Ltd,Canada,TSX,CAD,Common Stock,
TVE,Tamarack Valley Energy Ltd,Canada,TSX,CAD,Common Stock,
TVK,TerraVest Industries Inc,Canada,TSX,CAD,Common Stock,
TXG,Torex Gold Resources Inc,Canada,TSX,CAD,Common Stock,
VET,Vermilion Energy Inc,Canada,TSX,CAD,Common Stock,
WCN,Waste Connections Inc,Canada,TSX,CAD,Common Stock,
WCP,Whitecap Resources Inc,Canada,TSX,CAD,Common Stock,
WDO,Wesdome Gold Mines Ltd,Canada,TSX,CAD,Common Stock,
WFG,West Fraser Timber Co. Ltd,Canada,TSX,CAD,Common Stock,
WN,George Weston Ltd,Canada,TSX,CAD,Common Stock,
WPK,Winpak Ltd,Canada,TSX,CAD,Common Stock,
WPM,Wheaton Precious Metals Corp,Canada,TSX,CAD,Common Stock,
WSP,WSP Global Inc,Canada,TSX,CAD,Common Stock,
